project,category,maturity,canonical_repository,private_docs_location,last_verified
Evo-OS Genesis,orchestration,partial,vkb-lab/OS-v1,Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
K-OS motor-digital,legacy orchestration,legacy,to_verify,Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
Kaizen-org,project management,partial,vkb-lab/kaizen-org (access to verify),Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
Ki-Publica,multichannel publishing,architecture,to_verify,Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
Casa da Limpeza,retail operation,operational,not_applicable,Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
Parada Atlantida,local operation,operational,not_applicable,Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
Portal Atlantida,regional media,conceptual,to_verify,Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
MekHron,WhatsApp platform,conceptual,to_verify,Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
UYNegocios,marketplace,partial,to_verify,Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
VHIKING,microSaaS,partial,Hupmix/cliente-comunica-saas (access to verify),Google Drive/03 — DOCUMENTAÇÃO DOS PROJETOS,2026-07-11
